class_name,precision,recall,f1-score,support
Actinic keratosis,0.4634146341463415,0.7307692307692307,0.5671641791044776,26.0
Basal Cell Carcinoma,0.918918918918919,0.8095238095238095,0.8607594936708861,84.0
Darier_s Disease,0.85,0.85,0.85,20.0
Dermatofibroma,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
Epidermolysis Bullosa Pruriginosa,0.8571428571428571,0.9,0.8780487804878049,20.0
Hailey-Hailey Disease,0.75,0.8275862068965517,0.7868852459016393,29.0
Herpes Simplex,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
Impetigo,0.7222222222222222,0.5909090909090909,0.65,22.0
Larva Migrans,0.71875,0.8214285714285714,0.7666666666666667,28.0
Leprosy Borderline,0.6470588235294118,0.7586206896551724,0.6984126984126984,29.0
Leprosy Lepromatous,0.8367346938775511,0.6949152542372882,0.7592592592592593,59.0
Leprosy Tuberculoid,0.6875,0.7021276595744681,0.6947368421052632,47.0
Lichen Planus,0.8461538461538461,0.8148148148148148,0.8301886792452831,27.0
Lupus Erythematosus Chronicus Discoides,0.782608695652174,0.782608695652174,0.782608695652174,23.0
Melanoma,0.7931034482758621,0.8846153846153846,0.8363636363636363,26.0
Molluscum Contagiosum,0.8275862068965517,0.8888888888888888,0.8571428571428571,27.0
Mycosis Fungoides,0.75,0.875,0.8076923076923077,24.0
Neurofibromatosis,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
Nevus,0.92,0.6133333333333333,0.736,75.0
Papilomatosis Confluentes And Reticulate,0.8571428571428571,1.0,0.9230769230769231,18.0
Pediculosis Capitis,1.0,0.8823529411764706,0.9375,17.0
Pigmented Benign Keratosis,0.8444444444444444,0.7916666666666666,0.8172043010752689,96.0
Pityriasis Rosea,0.6923076923076923,0.6923076923076923,0.6923076923076923,26.0
Porokeratosis Actinic,0.9629629629629629,1.0,0.9811320754716981,26.0
Psoriasis,0.6875,0.8148148148148148,0.7457627118644068,27.0
Seborrheic keratosis,0.8,0.75,0.7741935483870968,16.0
Squamous cell carcinoma,0.5849056603773585,0.775,0.6666666666666666,40.0
Tinea Corporis,0.875,0.6086956521739131,0.717948717948718,23.0
Tinea Nigra,0.9545454545454546,0.875,0.9130434782608695,24.0
Tungiasis,0.84375,1.0,0.9152542372881356,27.0
Vascular lesion,0.9354838709677419,1.0,0.9666666666666667,29.0
accuracy,0.7947686116700201,0.7947686116700201,0.7947686116700201,0.7947686116700201
macro avg,0.8013932199336781,0.8134082492238951,0.8022059159722431,994.0
weighted avg,0.8094709522227657,0.7947686116700201,0.7958958890504777,994.0
